,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres),date
9229,71032,2019,9,12,5.4,-0.3,0.0,2019-09-12
9230,71032,2019,9,13,5.5,-0.1,0.2,2019-09-13
9231,71032,2019,9,14,5.9,-0.7,0.0,2019-09-14
9232,71032,2019,9,15,5.8,1.0,0.0,2019-09-15
9233,71032,2019,9,16,3.2,2.4,3.8,2019-09-16
9234,71032,2019,9,17,-1.3,-8.3,35.2,2019-09-17
9235,71032,2019,9,18,5.1,-5.6,0.2,2019-09-18
9236,71032,2019,9,19,9.0,-1.7,0.0,2019-09-19
9237,71032,2019,9,20,7.6,2.7,0.0,2019-09-20
9238,71032,2019,9,21,6.9,3.2,0.2,2019-09-21
9239,71032,2019,9,22,1.1,-1.8,33.2,2019-09-22
9500,71032,2020,6,9,5.8,-4.3,0.0,2020-06-09
9501,71032,2020,6,10,5.1,-2.8,0.0,2020-06-10
9502,71032,2020,6,11,4.5,-0.2,0.0,2020-06-11
9503,71032,2020,6,12,6.3,-3.1,0.0,2020-06-12
9504,71032,2020,6,13,4.0,-1.3,0.0,2020-06-13
9505,71032,2020,6,14,0.6,-1.2,41.8,2020-06-14
9506,71032,2020,6,15,2.3,-3.1,3.0,2020-06-15
9507,71032,2020,6,16,1.9,0.0,5.6,2020-06-16
9508,71032,2020,6,17,6.0,-2.9,1.2,2020-06-17
9509,71032,2020,6,18,8.2,-1.4,0.0,2020-06-18
9510,71032,2020,6,19,3.6,-1.3,0.0,2020-06-19
9511,71032,2020,6,20,2.5,1.0,10.4,2020-06-20
9512,71032,2020,6,21,-1.2,-2.4,44.2,2020-06-21
9513,71032,2020,6,22,-2.8,-5.4,0.8,2020-06-22
9514,71032,2020,6,23,0.6,-3.9,0.2,2020-06-23
9515,71032,2020,6,24,1.8,-2.9,0.6,2020-06-24
9516,71032,2020,6,25,-0.3,-1.9,0.2,2020-06-25
9517,71032,2020,6,26,0.1,-4.1,0.0,2020-06-26
9518,71032,2020,6,27,3.1,-8.2,0.0,2020-06-27
9519,71032,2020,6,28,1.7,-7.9,0.0,2020-06-28
9520,71032,2020,6,29,0.7,-7.7,0.0,2020-06-29
9521,71032,2020,6,30,1.3,-4.6,0.0,2020-06-30
9522,71032,2020,7,1,2.6,-2.9,0.8,2020-07-01
9523,71032,2020,7,2,-1.1,-1.6,19.4,2020-07-02
9524,71032,2020,7,3,-2.9,-4.5,3.2,2020-07-03
9525,71032,2020,7,4,-1.3,-7.2,3.8,2020-07-04
9526,71032,2020,7,5,1.1,-6.2,0.2,2020-07-05
9527,71032,2020,7,6,3.2,-3.0,0.2,2020-07-06
9528,71032,2020,7,7,3.8,-1.4,0.0,2020-07-07
9529,71032,2020,7,8,2.4,-3.4,0.0,2020-07-08
9530,71032,2020,7,9,2.2,-4.0,0.0,2020-07-09
9531,71032,2020,7,10,1.5,-4.6,0.0,2020-07-10
9532,71032,2020,7,11,2.0,-1.6,0.0,2020-07-11
9533,71032,2020,7,12,-0.6,-2.8,1.4,2020-07-12
9534,71032,2020,7,13,-0.3,-2.8,28.8,2020-07-13
9535,71032,2020,7,14,-0.6,-2.5,31.8,2020-07-14
9536,71032,2020,7,15,-0.9,-3.8,0.0,2020-07-15
9537,71032,2020,7,16,-1.0,-4.6,0.0,2020-07-16
9538,71032,2020,7,17,-1.9,-7.6,0.0,2020-07-17
9539,71032,2020,7,18,5.4,-7.5,0.0,2020-07-18
9540,71032,2020,7,19,-0.2,-3.5,0.0,2020-07-19
9541,71032,2020,7,20,-0.4,-5.7,2.0,2020-07-20
9542,71032,2020,7,21,2.4,-5.8,0.0,2020-07-21
9543,71032,2020,7,22,2.7,-1.5,0.0,2020-07-22
9544,71032,2020,7,23,3.5,-2.4,0.0,2020-07-23
9545,71032,2020,7,24,2.9,-0.4,0.0,2020-07-24
9546,71032,2020,7,25,4.2,-4.7,0.0,2020-07-25
9547,71032,2020,7,26,1.9,-1.1,5.6,2020-07-26
9548,71032,2020,7,27,0.9,0.0,9.8,2020-07-27
9549,71032,2020,7,28,1.3,-0.4,23.8,2020-07-28
9550,71032,2020,7,29,3.4,-1.6,2.6,2020-07-29
9551,71032,2020,7,30,3.3,-2.6,0.0,2020-07-30
9552,71032,2020,7,31,4.8,-4.9,0.0,2020-07-31
9553,71032,2020,8,1,2.9,-1.3,0.0,2020-08-01
9554,71032,2020,8,2,7.5,-3.5,0.0,2020-08-02
9555,71032,2020,8,3,0.4,-3.0,0.0,2020-08-03
9556,71032,2020,8,4,-2.5,-2.6,2.2,2020-08-04
9557,71032,2020,8,5,-3.8,-8.2,0.4,2020-08-05
9558,71032,2020,8,6,0.3,-9.3,0.2,2020-08-06
9559,71032,2020,8,7,-1.2,-7.5,0.0,2020-08-07
9560,71032,2020,8,8,0.1,-3.3,14.2,2020-08-08
9561,71032,2020,8,9,0.0,-2.3,15.8,2020-08-09
9562,71032,2020,8,10,1.5,-4.0,6.2,2020-08-10
9563,71032,2020,8,11,4.1,-7.0,0.0,2020-08-11
9564,71032,2020,8,12,1.3,-4.0,0.0,2020-08-12
9565,71032,2020,8,13,2.2,-1.2,5.0,2020-08-13
9566,71032,2020,8,14,2.1,-1.5,5.0,2020-08-14
9567,71032,2020,8,15,0.6,-0.8,9.4,2020-08-15
9568,71032,2020,8,16,0.2,-1.1,7.4,2020-08-16
9569,71032,2020,8,17,0.5,-1.2,9.4,2020-08-17
9570,71032,2020,8,18,0.0,-3.4,2.8,2020-08-18
9571,71032,2020,8,19,-2.1,-2.8,6.0,2020-08-19
9572,71032,2020,8,20,-2.5,-3.8,3.0,2020-08-20
9573,71032,2020,8,21,-2.7,-4.2,6.0,2020-08-21
9574,71032,2020,8,22,-5.1,-7.2,6.2,2020-08-22
9575,71032,2020,8,23,-3.7,-7.0,4.0,2020-08-23
9576,71032,2020,8,24,-2.1,-7.7,0.0,2020-08-24
9577,71032,2020,8,25,-2.0,-7.6,0.0,2020-08-25
9578,71032,2020,8,26,-0.7,-7.5,0.0,2020-08-26
9579,71032,2020,8,27,-0.9,-5.5,0.0,2020-08-27
9580,71032,2020,8,28,-0.6,-6.3,4.8,2020-08-28
9581,71032,2020,8,29,3.4,-5.4,0.0,2020-08-29
9582,71032,2020,8,30,3.2,-1.5,0.2,2020-08-30
9583,71032,2020,8,31,0.3,-2.8,0.4,2020-08-31
9584,71032,2020,9,1,3.1,-5.2,0.0,2020-09-01
9585,71032,2020,9,2,6.6,-0.5,0.0,2020-09-02
9586,71032,2020,9,3,4.3,0.7,0.2,2020-09-03
9587,71032,2020,9,4,1.1,-0.8,0.6,2020-09-04
9588,71032,2020,9,5,3.0,-3.5,0.0,2020-09-05
9589,71032,2020,9,6,6.8,-4.5,0.0,2020-09-06
9590,71032,2020,9,7,8.8,-1.8,0.0,2020-09-07
9591,71032,2020,9,8,7.5,3.3,0.0,2020-09-08
9592,71032,2020,9,9,5.8,2.1,6.8,2020-09-09
9593,71032,2020,9,10,6.6,-4.0,0.0,2020-09-10
9594,71032,2020,9,11,7.6,-3.7,0.0,2020-09-11
9595,71032,2020,9,12,5.9,-0.1,0.0,2020-09-12
9596,71032,2020,9,13,4.0,1.4,6.0,2020-09-13
9597,71032,2020,9,14,7.6,0.7,4.4,2020-09-14
9598,71032,2020,9,15,7.9,-0.6,0.0,2020-09-15
9599,71032,2020,9,16,8.4,3.0,0.0,2020-09-16
9600,71032,2020,9,17,10.3,3.5,0.0,2020-09-17
9601,71032,2020,9,18,8.8,1.8,0.0,2020-09-18
9602,71032,2020,9,19,10.2,4.7,1.6,2020-09-19
9603,71032,2020,9,20,6.6,4.4,11.2,2020-09-20
9604,71032,2020,9,21,8.7,4.1,5.6,2020-09-21
9605,71032,2020,9,22,2.2,,,2020-09-22
9865,71032,2021,6,9,-1.6,-7.3,7.4,2021-06-09
9866,71032,2021,6,10,-0.5,-4.0,27.6,2021-06-10
9867,71032,2021,6,11,0.1,-4.0,3.0,2021-06-11
9868,71032,2021,6,12,-0.3,-1.6,6.0,2021-06-12
9869,71032,2021,6,13,,-1.4,3.0,2021-06-13
9870,71032,2021,6,14,0.8,,0.2,2021-06-14
9871,71032,2021,6,15,0.4,-1.9,0.0,2021-06-15
9872,71032,2021,6,16,0.3,-2.6,0.2,2021-06-16
9873,71032,2021,6,17,-2.3,-4.0,7.0,2021-06-17
9874,71032,2021,6,18,0.0,-4.0,0.0,2021-06-18
9875,71032,2021,6,19,-0.7,-2.3,4.2,2021-06-19
9876,71032,2021,6,20,-0.5,-3.3,0.6,2021-06-20
9877,71032,2021,6,21,-0.5,-7.5,0.2,2021-06-21
9878,71032,2021,6,22,3.7,-7.0,0.0,2021-06-22
9879,71032,2021,6,23,2.3,-5.4,0.0,2021-06-23
9880,71032,2021,6,24,2.6,0.3,71.0,2021-06-24
9881,71032,2021,6,25,-0.5,-1.4,22.0,2021-06-25
9882,71032,2021,6,26,-1.2,-2.7,4.0,2021-06-26
9883,71032,2021,6,27,-0.5,-5.6,1.4,2021-06-27
9884,71032,2021,6,28,1.8,-7.5,0.0,2021-06-28
9885,71032,2021,6,29,3.4,-5.9,0.0,2021-06-29
9886,71032,2021,6,30,1.7,-4.1,0.0,2021-06-30
9887,71032,2021,7,1,2.8,0.0,1.8,2021-07-01
9888,71032,2021,7,2,1.4,-0.4,0.4,2021-07-02
9889,71032,2021,7,3,-3.9,-4.2,2.6,2021-07-03
9890,71032,2021,7,4,-3.2,-6.3,1.0,2021-07-04
9891,71032,2021,7,5,0.3,-6.3,1.0,2021-07-05
9892,71032,2021,7,6,0.6,-4.0,0.0,2021-07-06
9893,71032,2021,7,7,1.8,-5.6,0.0,2021-07-07
9894,71032,2021,7,8,1.2,-5.1,0.0,2021-07-08
9895,71032,2021,7,9,2.1,-5.5,0.0,2021-07-09
9896,71032,2021,7,10,-0.7,-5.9,0.0,2021-07-10
9897,71032,2021,7,11,0.7,-6.2,0.0,2021-07-11
9898,71032,2021,7,12,-0.8,-3.8,0.0,2021-07-12
9899,71032,2021,7,13,-0.2,-2.2,0.0,2021-07-13
9900,71032,2021,7,14,0.9,-2.2,0.2,2021-07-14
9901,71032,2021,7,15,0.8,-1.6,13.8,2021-07-15
9902,71032,2021,7,16,-1.7,-1.9,8.0,2021-07-16
9903,71032,2021,7,17,,-5.2,8.2,2021-07-17
9904,71032,2021,7,18,,,,2021-07-18
9905,71032,2021,7,19,,,,2021-07-19
9906,71032,2021,7,20,,,,2021-07-20
9907,71032,2021,7,21,,,,2021-07-21
9908,71032,2021,7,22,,,,2021-07-22
9909,71032,2021,7,23,,,,2021-07-23
9910,71032,2021,7,24,,,,2021-07-24
9911,71032,2021,7,25,,,,2021-07-25
9912,71032,2021,7,26,,,,2021-07-26
9913,71032,2021,7,27,,,,2021-07-27
9914,71032,2021,7,28,,,,2021-07-28
9915,71032,2021,7,29,,,,2021-07-29
9916,71032,2021,7,30,,,,2021-07-30
9917,71032,2021,7,31,,,,2021-07-31
9918,71032,2021,8,1,,,,2021-08-01
9919,71032,2021,8,2,,,,2021-08-02
9920,71032,2021,8,3,-2.1,-3.9,,2021-08-03
9921,71032,2021,8,4,-1.1,-5.5,3.4,2021-08-04
9922,71032,2021,8,5,-0.4,-4.6,0.4,2021-08-05
9923,71032,2021,8,6,4.3,-3.2,0.2,2021-08-06
9924,71032,2021,8,7,2.2,-1.9,0.0,2021-08-07
9925,71032,2021,8,8,2.3,-6.2,0.0,2021-08-08
9926,71032,2021,8,9,0.9,-5.1,0.0,2021-08-09
9927,71032,2021,8,10,3.3,-2.2,0.0,2021-08-10
9928,71032,2021,8,11,,-1.6,0.0,2021-08-11
9929,71032,2021,8,12,,,,2021-08-12
9930,71032,2021,8,13,,,,2021-08-13
9931,71032,2021,8,14,,,,2021-08-14
9932,71032,2021,8,15,,,,2021-08-15
9933,71032,2021,8,16,,,,2021-08-16
9934,71032,2021,8,17,,,,2021-08-17
9935,71032,2021,8,18,,,,2021-08-18
9936,71032,2021,8,19,,,,2021-08-19
9937,71032,2021,8,20,1.9,,,2021-08-20
9938,71032,2021,8,21,1.8,-0.8,5.6,2021-08-21
9939,71032,2021,8,22,5.4,0.0,0.0,2021-08-22
9940,71032,2021,8,23,2.7,0.5,2.0,2021-08-23
9941,71032,2021,8,24,-2.7,-5.1,23.2,2021-08-24
9942,71032,2021,8,25,-1.1,-8.2,1.4,2021-08-25
9943,71032,2021,8,26,0.2,-4.4,1.2,2021-08-26
9944,71032,2021,8,27,0.1,-3.1,0.8,2021-08-27
9945,71032,2021,8,28,2.5,-2.5,1.8,2021-08-28
9946,71032,2021,8,29,-0.1,-3.1,0.6,2021-08-29
9947,71032,2021,8,30,0.1,-5.1,5.6,2021-08-30
9948,71032,2021,8,31,5.0,-3.0,1.0,2021-08-31
9949,71032,2021,9,1,6.9,-0.5,0.0,2021-09-01
9950,71032,2021,9,2,7.7,-0.9,0.0,2021-09-02
9951,71032,2021,9,3,6.0,4.3,5.8,2021-09-03
9952,71032,2021,9,4,4.6,1.8,69.6,2021-09-04
9953,71032,2021,9,5,-1.8,-2.3,40.8,2021-09-05
9954,71032,2021,9,6,1.2,-5.7,2.4,2021-09-06
9955,71032,2021,9,7,4.8,-4.7,0.0,2021-09-07
9956,71032,2021,9,8,5.9,-0.2,0.0,2021-09-08
9957,71032,2021,9,9,3.4,1.1,0.0,2021-09-09
9958,71032,2021,9,10,5.2,0.7,0.0,2021-09-10
9959,71032,2021,9,11,6.9,2.2,0.0,2021-09-11
9960,71032,2021,9,12,-0.2,-0.7,0.0,2021-09-12
9961,71032,2021,9,13,-1.0,-4.8,4.2,2021-09-13
9962,71032,2021,9,14,1.8,-9.0,0.6,2021-09-14
9963,71032,2021,9,15,4.1,-6.8,0.0,2021-09-15
9964,71032,2021,9,16,4.5,-4.0,0.0,2021-09-16
9965,71032,2021,9,17,5.4,-3.5,0.0,2021-09-17
9966,71032,2021,9,18,1.3,0.6,45.4,2021-09-18
9967,71032,2021,9,19,1.0,-2.9,0.0,2021-09-19
9968,71032,2021,9,20,-0.6,-2.5,8.0,2021-09-20
9969,71032,2021,9,21,0.9,-8.0,10.6,2021-09-21
9970,71032,2021,9,22,5.7,-5.5,1.2,2021-09-22
10230,71032,2022,6,9,-2.2,-5.6,0.2,2022-06-09
10231,71032,2022,6,10,-1.5,-4.1,0.2,2022-06-10
10232,71032,2022,6,11,-2.5,-6.0,0.2,2022-06-11
10233,71032,2022,6,12,-1.5,-5.0,0.2,2022-06-12
10234,71032,2022,6,13,-0.3,-5.3,0.2,2022-06-13
10235,71032,2022,6,14,2.6,-4.0,0.0,2022-06-14
10236,71032,2022,6,15,0.6,-2.8,0.0,2022-06-15
10237,71032,2022,6,16,0.7,-2.7,3.6,2022-06-16
10238,71032,2022,6,17,0.4,-1.9,2.4,2022-06-17
10239,71032,2022,6,18,4.0,-4.4,0.0,2022-06-18
10240,71032,2022,6,19,4.1,-5.7,0.0,2022-06-19
10241,71032,2022,6,20,2.7,-4.2,0.0,2022-06-20
10242,71032,2022,6,21,0.0,-0.2,11.2,2022-06-21
10243,71032,2022,6,22,0.0,-4.6,10.0,2022-06-22
10244,71032,2022,6,23,0.8,-2.7,0.0,2022-06-23
10245,71032,2022,6,24,0.8,-0.6,1.6,2022-06-24
10246,71032,2022,6,25,-1.8,-3.2,6.0,2022-06-25
10247,71032,2022,6,26,-1.0,-3.2,0.0,2022-06-26
10248,71032,2022,6,27,3.1,-6.9,2.2,2022-06-27
10249,71032,2022,6,28,5.8,-7.2,0.0,2022-06-28
10250,71032,2022,6,29,2.9,-0.8,0.0,2022-06-29
10251,71032,2022,6,30,1.9,-2.6,1.0,2022-06-30
10252,71032,2022,7,1,-1.2,-4.2,1.2,2022-07-01
10253,71032,2022,7,2,-0.7,-3.9,0.0,2022-07-02
10254,71032,2022,7,3,-0.3,-2.7,0.2,2022-07-03
10255,71032,2022,7,4,-0.6,-3.7,0.2,2022-07-04
10256,71032,2022,7,5,4.5,-7.2,0.0,2022-07-05
10257,71032,2022,7,6,6.4,-7.7,0.0,2022-07-06
10258,71032,2022,7,7,1.8,-4.2,0.0,2022-07-07
10259,71032,2022,7,8,-2.6,-4.6,0.0,2022-07-08
10260,71032,2022,7,9,-1.8,-5.0,1.4,2022-07-09
10261,71032,2022,7,10,-0.1,-4.5,0.6,2022-07-10
10262,71032,2022,7,11,0.6,-8.5,0.0,2022-07-11
10263,71032,2022,7,12,-1.8,-4.6,0.0,2022-07-12
10264,71032,2022,7,13,-3.0,-6.2,0.2,2022-07-13
10265,71032,2022,7,14,0.9,-9.0,0.0,2022-07-14
10266,71032,2022,7,15,0.6,-5.0,0.0,2022-07-15
10267,71032,2022,7,16,-1.6,-4.1,0.0,2022-07-16
10268,71032,2022,7,17,-1.0,-4.8,1.0,2022-07-17
10269,71032,2022,7,18,-4.0,-7.3,6.6,2022-07-18
10270,71032,2022,7,19,-3.5,-8.2,0.8,2022-07-19
10271,71032,2022,7,20,-1.3,,0.0,2022-07-20
10272,71032,2022,7,21,0.0,-8.2,0.0,2022-07-21
10273,71032,2022,7,22,-0.1,-4.2,2.0,2022-07-22
10274,71032,2022,7,23,2.3,-3.5,0.0,2022-07-23
10275,71032,2022,7,24,3.4,-0.6,0.0,2022-07-24
10276,71032,2022,7,25,3.1,-2.6,0.0,2022-07-25
10277,71032,2022,7,26,-0.7,-1.3,17.2,2022-07-26
10278,71032,2022,7,27,-0.3,-5.7,3.6,2022-07-27
10279,71032,2022,7,28,-0.5,-4.1,0.6,2022-07-28
10280,71032,2022,7,29,-1.8,-7.4,2.0,2022-07-29
10281,71032,2022,7,30,0.5,-9.0,0.0,2022-07-30
10282,71032,2022,7,31,0.1,-3.3,0.0,2022-07-31
10283,71032,2022,8,1,-2.3,-3.1,13.8,2022-08-01
10284,71032,2022,8,2,0.1,-3.9,2.4,2022-08-02
10285,71032,2022,8,3,5.7,-5.0,14.8,2022-08-03
10286,71032,2022,8,4,4.2,0.1,63.8,2022-08-04
10287,71032,2022,8,5,-0.3,-0.8,58.4,2022-08-05
10288,71032,2022,8,6,-1.5,-2.9,8.0,2022-08-06
10289,71032,2022,8,7,-0.2,-4.7,1.4,2022-08-07
10290,71032,2022,8,8,-0.2,-5.7,0.2,2022-08-08
10291,71032,2022,8,9,-1.1,-9.2,1.0,2022-08-09
10292,71032,2022,8,10,-0.2,-6.8,0.0,2022-08-10
10293,71032,2022,8,11,0.1,-2.4,0.0,2022-08-11
10294,71032,2022,8,12,-0.7,-2.0,6.2,2022-08-12
10295,71032,2022,8,13,-0.7,-5.9,2.8,2022-08-13
10296,71032,2022,8,14,-1.5,-3.0,4.8,2022-08-14
10297,71032,2022,8,15,-2.4,-4.3,8.2,2022-08-15
10298,71032,2022,8,16,0.6,-3.8,1.8,2022-08-16
10299,71032,2022,8,17,4.1,-3.2,1.0,2022-08-17
10300,71032,2022,8,18,2.2,-0.8,0.6,2022-08-18
10301,71032,2022,8,19,-0.8,-3.5,12.2,2022-08-19
10302,71032,2022,8,20,-0.3,-4.2,3.0,2022-08-20
10303,71032,2022,8,21,0.3,-6.9,4.2,2022-08-21
10304,71032,2022,8,22,0.4,-4.6,0.0,2022-08-22
10305,71032,2022,8,23,-4.4,-4.9,23.0,2022-08-23
10306,71032,2022,8,24,-1.1,-6.7,1.4,2022-08-24
10307,71032,2022,8,25,0.0,-4.5,0.2,2022-08-25
10308,71032,2022,8,26,1.4,-6.4,0.0,2022-08-26
10309,71032,2022,8,27,4.3,-4.6,0.0,2022-08-27
10310,71032,2022,8,28,3.1,-3.7,0.2,2022-08-28
10311,71032,2022,8,29,3.4,0.9,0.8,2022-08-29
10312,71032,2022,8,30,1.3,-2.7,20.8,2022-08-30
10313,71032,2022,8,31,4.4,-2.8,2.6,2022-08-31
10314,71032,2022,9,1,2.2,-1.4,0.0,2022-09-01
10315,71032,2022,9,2,3.4,-3.6,0.0,2022-09-02
10316,71032,2022,9,3,1.9,-9.2,0.2,2022-09-03
10317,71032,2022,9,4,6.6,-7.3,0.0,2022-09-04
10318,71032,2022,9,5,2.0,-4.1,0.0,2022-09-05
10319,71032,2022,9,6,3.5,-7.4,0.4,2022-09-06
10320,71032,2022,9,7,4.5,-4.5,0.0,2022-09-07
10321,71032,2022,9,8,4.5,0.1,4.8,2022-09-08
10322,71032,2022,9,9,1.8,1.2,9.6,2022-09-09
10323,71032,2022,9,10,3.0,0.0,5.8,2022-09-10
10324,71032,2022,9,11,0.1,-3.7,10.0,2022-09-11
10325,71032,2022,9,12,-0.9,-4.5,0.6,2022-09-12
10326,71032,2022,9,13,-0.5,-7.3,4.6,2022-09-13
10327,71032,2022,9,14,3.0,-8.7,0.0,2022-09-14
10328,71032,2022,9,15,3.3,-3.5,0.0,2022-09-15
10329,71032,2022,9,16,1.1,-0.9,3.8,2022-09-16
10330,71032,2022,9,17,-1.2,-3.2,14.0,2022-09-17
10331,71032,2022,9,18,-0.8,-3.2,8.2,2022-09-18
10332,71032,2022,9,19,-1.1,-3.2,10.8,2022-09-19
10333,71032,2022,9,20,6.5,-5.0,0.0,2022-09-20
10334,71032,2022,9,21,6.4,-2.0,0.0,2022-09-21
10335,71032,2022,9,22,6.3,1.5,0.0,2022-09-22
10595,71032,2023,6,9,-1.0,-1.7,41.6,2023-06-09
10596,71032,2023,6,10,1.1,-4.2,1.8,2023-06-10
10597,71032,2023,6,11,3.4,-4.2,0.0,2023-06-11
10598,71032,2023,6,12,2.9,-2.7,0.0,2023-06-12
10599,71032,2023,6,13,0.7,-1.5,0.0,2023-06-13
10600,71032,2023,6,14,-1.1,-3.2,7.0,2023-06-14
10601,71032,2023,6,15,0.0,-4.1,1.2,2023-06-15
10602,71032,2023,6,16,0.1,-1.2,0.8,2023-06-16
10603,71032,2023,6,17,-0.8,-2.5,0.0,2023-06-17
10604,71032,2023,6,18,-2.8,-3.2,0.6,2023-06-18
10605,71032,2023,6,19,-3.3,-5.0,1.4,2023-06-19
10606,71032,2023,6,20,-1.6,-7.5,2.6,2023-06-20
10607,71032,2023,6,21,1.6,-6.8,0.0,2023-06-21
10608,71032,2023,6,22,0.4,-3.1,0.0,2023-06-22
10609,71032,2023,6,23,-1.5,-3.2,3.8,2023-06-23
10610,71032,2023,6,24,-1.5,-4.1,1.2,2023-06-24
10611,71032,2023,6,25,-1.9,-4.2,5.0,2023-06-25
10612,71032,2023,6,26,-1.6,-4.2,6.6,2023-06-26
10613,71032,2023,6,27,-1.6,-4.6,8.4,2023-06-27
10614,71032,2023,6,28,-1.6,-4.0,0.0,2023-06-28
10615,71032,2023,6,29,-1.9,-7.7,1.2,2023-06-29
10616,71032,2023,6,30,-0.6,-6.9,0.0,2023-06-30
10617,71032,2023,7,1,-1.1,-2.5,0.2,2023-07-01
10618,71032,2023,7,2,0.0,-4.9,0.2,2023-07-02
10619,71032,2023,7,3,3.6,-3.5,0.0,2023-07-03
10620,71032,2023,7,4,3.0,-2.0,0.2,2023-07-04
10621,71032,2023,7,5,2.3,0.1,16.0,2023-07-05
10622,71032,2023,7,6,-2.1,-4.9,4.4,2023-07-06
10623,71032,2023,7,7,-1.6,-3.8,0.4,2023-07-07
10624,71032,2023,7,8,-1.2,-4.0,2.0,2023-07-08
10625,71032,2023,7,9,-0.1,-4.0,9.0,2023-07-09
10626,71032,2023,7,10,0.0,-2.1,0.6,2023-07-10
10627,71032,2023,7,11,0.1,-2.3,0.0,2023-07-11
10628,71032,2023,7,12,3.2,-4.0,0.0,2023-07-12
10629,71032,2023,7,13,4.3,-0.9,0.0,2023-07-13
10630,71032,2023,7,14,1.8,-1.7,0.0,2023-07-14
10631,71032,2023,7,15,2.3,-1.3,0.0,2023-07-15
10632,71032,2023,7,16,6.0,-1.3,0.0,2023-07-16
10633,71032,2023,7,17,5.9,-4.0,0.0,2023-07-17
10634,71032,2023,7,18,0.7,-3.1,0.0,2023-07-18
10635,71032,2023,7,19,2.9,-6.4,1.6,2023-07-19
10636,71032,2023,7,20,2.9,-5.7,0.0,2023-07-20
10637,71032,2023,7,21,-0.1,-4.8,1.0,2023-07-21
10638,71032,2023,7,22,1.4,-5.4,0.2,2023-07-22
10639,71032,2023,7,23,1.9,-8.4,0.0,2023-07-23
10640,71032,2023,7,24,4.0,-6.5,0.0,2023-07-24
10641,71032,2023,7,25,6.1,-0.5,0.0,2023-07-25
10642,71032,2023,7,26,3.9,-0.9,0.0,2023-07-26
10643,71032,2023,7,27,3.9,-2.3,0.0,2023-07-27
10644,71032,2023,7,28,2.2,-0.7,,2023-07-28
10645,71032,2023,7,29,3.0,0.2,7.8,2023-07-29
10646,71032,2023,7,30,1.1,-0.5,0.0,2023-07-30
10647,71032,2023,7,31,2.7,-1.6,0.2,2023-07-31
10648,71032,2023,8,1,5.4,-2.2,0.0,2023-08-01
10649,71032,2023,8,2,6.0,-3.2,0.0,2023-08-02
10650,71032,2023,8,3,4.5,0.5,0.0,2023-08-03
10651,71032,2023,8,4,4.5,1.9,0.0,2023-08-04
10652,71032,2023,8,5,3.3,0.4,36.0,2023-08-05
10653,71032,2023,8,6,5.8,-4.2,0.0,2023-08-06
10654,71032,2023,8,7,,-4.1,0.0,2023-08-07
10655,71032,2023,8,8,4.8,-3.6,,2023-08-08
10656,71032,2023,8,9,4.3,-3.8,0.0,2023-08-09
10657,71032,2023,8,10,1.2,-1.4,,2023-08-10
10658,71032,2023,8,11,2.9,-2.8,2.2,2023-08-11
10659,71032,2023,8,12,-0.9,-4.0,0.0,2023-08-12
10660,71032,2023,8,13,1.3,-5.0,0.0,2023-08-13
10661,71032,2023,8,14,0.7,-2.7,3.8,2023-08-14
10662,71032,2023,8,15,-0.1,-5.9,1.2,2023-08-15
10663,71032,2023,8,16,0.4,-7.0,0.2,2023-08-16
10664,71032,2023,8,17,2.9,-4.6,0.0,2023-08-17
10665,71032,2023,8,18,-1.9,-3.2,1.0,2023-08-18
10666,71032,2023,8,19,3.0,-6.4,4.0,2023-08-19
10667,71032,2023,8,20,7.8,-2.8,0.2,2023-08-20
10668,71032,2023,8,21,4.8,0.4,0.0,2023-08-21
10669,71032,2023,8,22,2.7,1.2,9.6,2023-08-22
10670,71032,2023,8,23,4.0,-1.3,9.0,2023-08-23
10671,71032,2023,8,24,5.5,-3.3,0.0,2023-08-24
10672,71032,2023,8,25,6.1,0.3,0.0,2023-08-25
10673,71032,2023,8,26,,,,2023-08-26
10674,71032,2023,8,27,4.7,,,2023-08-27
10675,71032,2023,8,28,3.0,-0.4,3.4,2023-08-28
10676,71032,2023,8,29,7.0,0.2,2.4,2023-08-29
10677,71032,2023,8,30,2.0,1.1,0.2,2023-08-30
10678,71032,2023,8,31,3.3,-2.5,15.4,2023-08-31
10679,71032,2023,9,1,5.9,-4.0,0.2,2023-09-01
10680,71032,2023,9,2,,-6.3,0.0,2023-09-02
10681,71032,2023,9,3,,,,2023-09-03
10682,71032,2023,9,4,,,,2023-09-04
10683,71032,2023,9,5,,,5.2,2023-09-05
10684,71032,2023,9,6,,,0.6,2023-09-06
10685,71032,2023,9,7,,,0.0,2023-09-07
10686,71032,2023,9,8,,,32.6,2023-09-08
10687,71032,2023,9,9,,,4.2,2023-09-09
10688,71032,2023,9,10,,,0.2,2023-09-10
10689,71032,2023,9,11,,,0.0,2023-09-11
10690,71032,2023,9,12,,,0.0,2023-09-12
10691,71032,2023,9,13,,,0.0,2023-09-13
10692,71032,2023,9,14,,,0.0,2023-09-14
10693,71032,2023,9,15,,,0.0,2023-09-15
10694,71032,2023,9,16,,,0.0,2023-09-16
10695,71032,2023,9,17,,,0.0,2023-09-17
10696,71032,2023,9,18,,,0.0,2023-09-18
10697,71032,2023,9,19,,,0.0,2023-09-19
10698,71032,2023,9,20,,,0.0,2023-09-20
